,text,emotion
90,naya pura bersin hatchi sampe,2
91,tidka mengunakan order gojek via go ride termikasi responnya admin,1
92,pergi makan malam aula dinning temu lalat mati saus,4
93,jalan kampus malam ekor tupai lompat,1
94,halo admin gojek buka lowong magang anak smk jurus teknik komputer jaring,1
95,kampret gojek mahal,2
96,orang lapar ethiopia tv sedih derita,4
97,hhh tuh mo pulang cepet jajan burger laper batal mesti go,2
98,jauuuh kang gojek mo nerima,3
99,kasus kaya gojek cs vs bluebird bluebird perkasa lawan operator taksi pas ngelawan teknologi mendem,4
100,tonton tv film perang rasa takut kuat mati ancam takut hilang orangorang,1
101,cela mobil b skv tabrak separator busway tl salemba tangan tugas,5
102,yaudah duit senin gojek,3
103,jg bilang tipu koq bacaliat info nya ya gojek bilang na,0
104,telepon mati coba telepon kali diam heran sms nya,4
105,pulang rumah temu saudara perempuan pinjam mobil alami celaka mobil bumper hancur,2
106,teman main kadang pikir orang masuk akal pergi rumah teman masuk tutup pintu kuat belakang hormat teman sikap marah bad mood,2
107,nomor resi ubah ubah sore dibatalin guna pakai gojek kl tanggal nympe,2
108,teman kamar pulang rumah jam pagi tidur pria mabuk milik pacar,4
109,mao naek gojek neng maaf ya helm lembab hujan iya papagw pakai,2
110,jijik uang makan siang sekolah ayah hukum pukul adik lakilaki,4
111,pagi mamak bikin heboh sen gojek dateng gojek tigatiganya nunggu,5
112,ya app wa twitter sm gojek gabisa pindah external storage samsung pelit internal storage ben,2
113,hina orangorang jijik,2
114,hhh tuh mo pulang cepet jajan burger laper batal mesti go,2
115,ahh babang gojek bule tidur luk motor mending peluk bang yukk bang,0
116,teman kamar pulang rumah jam pagi tidur pria mabuk milik pacar,4
117,jalan liat kendara motor jatoh gojek nganter bilang henti sebentar ya mbak ba,5
118,iyaa omowhhoke omkegiatan minggu om bo,4
119,takut tawar seksual kerabat keluarga,1
120,kirim paket makan one day service gojek tangerang depok bogor sampe bandung pakai,0
121,ahh babang gojek bule tidur luk motor mending peluk bang yukk bang,0
122,berita pilih sekutu teliti nasional junior ugc mimpi nyata,0
123,pin buat kevlar,2
124,selesai pr,5
125,rena semenjak endorse pwj ama ldh gojek naikin tarif v,2
126,tunggu gojek,2
127,pasien harap sembuh tibatiba tinggal makan,2
128,hadap mamba aneh berhadaphadapan bong dedaunan rumah,1
129,ah mahal gojek,3
130,joko driyono orang pssi milik saham besar persija jakarta baik taut ya,0
131,jijik kotor,4
132,okay liat inget gojek nyebutin kerja ffffffff,4
133,ketuk pintu rumah bel pintu lubang intip tutup telepon saudara perempuan bantu ratus kilometer jauh,1
134,cari pilih kuliah bahasa inggris,5
135,admin driver nakal gin lohcustomer sih rugi uang pakai cash tingga,2
136,ampo sedih,4
137,biar gelap muda,1
138,temu temu sadar duduk belah orang anggap rendah diskriminatif,4
139,selamat malam gojek bantu unt tanggal feb transaksi pagi kfc jakarta,2
140,nunggu situ tuh abang gojek doi jam ya random ngobrol,3
141,abis fel mampang bkasi nang gojek berat ongkos gosong huhuhu,3
142,leceh seksual driver gojek bisadipecat,5
143,ajak tidur dadak neng aspal karo gojek,0
144,hebat banget pencet order gojek,5
145,simpul ambil populasi driver gojek milik rating excellent,5
146,siih peka babang gojek,0
147,selamat malam gojek bantu unt tanggal feb transaksi pagi kfc jakarta,2
148,temu antipornografi sampel film majalah,4
149,takut,1
150,naik tarif gojek tahap uninstallajalahmendingaqpakegrab,4
151,gojek galau siang anter paket polri lepas jaket uang cashnya sanasi terima bayar rb,3
152,br sj telepon tipu aku gojek pin gopay pls fu gojekindonesia,1
153,aplikasi grab ok nonjolin layan milik layan lainbandingin goj,3
154,percaya aing kasi contoh nih bijak privasi ojol sesuai topik twit bahas,4
155,jernih kesalahpahaman teman sebab orang tiga campur cakap ubah upaya ejek hasil maksud,2
156,jijik sepupu putus henti pergi sekolah meni erti pikir,4
157,nilai rendah matematika,5
158,kota malaysia pacar teater gambar gegas taksi temu lelaki tua sakit ambil alih taksi,4
159,keliling sebar berita suka orang uang,4
160,dengar lantai retak pikir curi rumah sembunyi selimut gemetar,1
161,uji lisan ambil,1
162,selesai bsc juang keras lanjut studi ikut uji msc pilih uji tulis nama daftar kandidat pilih gembira,0
163,pagi aplikasi gojek driver errorpembayaran gopay masukpoint,4
164,takut rampok masuk rumah ancam tembak ayah pisah uang pria tangan pelatuk,1
165,lucu gaes bct umm gojek u know sik bct sisih endi lelah jalan kaki menit,3
166,sentak kamar tibatiba ibu masuk tatap tinggal ruang,5
167,order gojek gimama ya admin ko eror gin,2
168,driver gojek wajib baca modus tipu terhadapdriver,3
169,pacar temanteman jatuh licin benarbenar malu,5
170,brib ni barusa ane bc malam selep,1
171,cuaca terik buka aplikasi gojek gosend kabel charger tinggal driver hujan turun den,3
172,auditorium orangorang aju konyol orang tertawa,5
173,hi barusan terima telepon usaha tipu nama gojek,1
174,libat gojek hehe,0
175,teman cerita bodoh milik cerita cerita,5
176,dapet bang,5
177,nieghbour pintu lari kucing jalan masuk coba selesai sekop datar bawa kucing dokter hewan bunuh manusia sembuh,4
178,gosendgrabsend mahal gojekgrabbikekan bawa barang enteng bawa orang,5
179,kasi abang gojek entar tilang go food sampe sampe entar,3
180,orang egois egois,4
181,konflik orang tua ganggu studi,1
182,mao naek gojek neng maaf ya helm lembab hujan iya papagw pakai,2
183,bentur mobil,1
184,lalala gojek taun kerja dgn gojek moga taun moga hahah,0
185,pria bawa pisau tangkap ancam libur monze,1
186,wkwkwkw nama pas foto kilat beneran kaga sempet touch abis ngejar murid foto doang,0
187,eh pas pulang adek gua tuh nunggu bokap bokap kunjung jam jemput nya,5
188,duduk mobil belah pria masturbasi,1
189,puberty mamang gojek cici cici,0
190,siang uji jam bangun jam buahbatu bahan gasempet aing bacaniat prod,3
191,adegan tembak rumah takut pria senjata hadap temu alas insiden,1
192,kelas dengar kait orang tertawa,5
193,nunggu situ tuh abang gojek doi jam ya random ngobrol,3
194,halo admin gojek buka lowong magang anak smk jurus teknik komputer jaring,1
195,gojek,0
196,liked video gojek mulangin tuyul,2
197,oke kakak otw gojek,0
198,dear pagi jam sja isi saldo gopay bank mandiri rbtetapi jam,3
199,gojek bawah umur,5
200,emang suka ngeselin dah tu gojek grab ngeledek,2
201,tuh banget catcallkarena pulang sekolah kantrus goj,2
202,rumah isi lapor pajak milik bantu laku cepat pergi temu teman rumah sakit marah kakak ayah tolak kalkulator minta pergi tunggu bantu lapor pajak selesai,2
203,takut telat gojek,3
204,jalan ladang milik kotor,4
205,orang kek dibaikin random loh nyerang nya,2
206,bagi tinggal tuduh coba robek bayar tagih rumah,2
207,saat razia jalan gojek amp grab ngasih promo hehe,0
208,come hangout paska kopdar gojek ons bigolive,0
209,kakek tinggal rumah orang tua kunjung ulang tahun mummy temu keluarga kakek,4
210,gojek motor tinggal,5
211,jalan universitas malam ingat perkosa dll,1
212,dengar goda bulling sekolah tengah,1
213,ya app wa twitter sm gojek gabisa pindah external storage samsung pelit internal storage ben,2
214,admin masuk akun gojek nomer akun hangus solusi,3
215,kuliah enam siswa tinggal kelas ajar malu marah,5
216,rencana ajar uji jangka tengah teman kamar telepon pergi berjalanjalan coba alas tolak dengar sikeras pergi dengan bicara dengan,2
217,terima universitas sofia,0
218,ahh babang gojek bule tidur luk motor mending peluk bang yukk bang,0
219,boneka suruh gojek deh,3
220,males menggadapi macet menit kaya enak nih flip burger order gojek k pim duhh,0
221,barang mahal mah pakai gojek ato ojolngerii,5
222,auditorium orangorang aju konyol orang tertawa,5
223,malam natal pergi rumah teman kelas teman kelas esok pagi toilet erti celana temu lupa pasang gegas toilet tebak,5
224,zaman beli pulsatoken kelayaban download aze om raba kuota gojek games jg ko,0
225,pergi kepala ragu kerja peduli tinggal bicara,2
226,laper ken makan hujan mesen gojek kasi akang hujan gin,3
227,daftar gojek traveloka dll ganti repot,1
228,gojek turun langsung jalan jatibaru raya,0
229,temu ratus orang putus bicara tribun gambar,5
230,pulang pergi kantor gojek grab nyaman tarif mulu jarang,3
231,pasuk ruang operasi jalan operasi sulit,1
232,pergi temu teman orang orang bawa hadiah satusatunya bawa apaapa teman ramah asa,5
233,salah sahabat temu geletak jalan mabuk bawa polisi masuk sel pergi temu esok pagi benarbenar beranta bau busuk suka,4
234,malu tubuh indah pacar anggap cantik,5
235,abang gojeka kini bgtmau kuliah ya nengiya bang nguli,4
236,alami celaka mobil salah malu milik roh kemudi,5
237,ya semenjak update aplikasi driver tumpang titik lokasi gps terlih,3
238,emang ganti foto profil grab gojek,3
239,pergok masturbasi,5
240,sedih pacar selesai hubung,3
241,twt pakai paket unlimited app nya indosat bhahaha buka app line twt goj,3
242,selamat malam gojek bantu unt tanggal feb transaksi pagi kfc jakarta,2
243,temen gua buru naek gojek ngulurin tangan helm disalamin ama abang wqwqw,3
244,pemuda cacat fisik ludah mulut bicara,4
245,gojek terminal bungurasih titik temu halte gudang garam drivernya suruh,3
246,baca buku fantasi seksual wanita baca wanita hubung seksual anjing,4
247,jakarta macet sih segitu tari,5
248,uber drivernya ajar berkalikali pakai ub,2
249,harga gojek gocar dah angkot dkk gojekindonesia,3
250,sesi film py selasa salah film coba ekor kucing hidup libat masuk mesin halhal otak,4
251,asli dah nih nyariin adek gojek pagi tuh emosi dicancel mulu adek manja bergantu,2
252,maret jam siang jalan jaya rt rw krukut taman sari order via gojekgrab tele,5
253,temantemanku sikap kasar gadis,5
254,jijik mabuk tidur orang asing,4
255,jijik orang paham salah paham,4
256,surge pricing gojek hujan jadi hujanhujanan,0
257,dorong teman tibatiba banting setir gelincir malam jalan sisi jalan,1
258,teman kolega bicara kerja mahasiswa pintar guru,5
259,oo ya bang tukang nan dpn sd,5
260,takut muda pergi rumah,1
261,rumah tibatiba sehat bantu panggil first aid,1
262,pulang rumah mabuk hari pesta malu orang tua,5
263,cuih ya mo gojek shihlin saia jakarta,5
264,naya pura bersin hatchi sampe,2
265,anak lelaki kenal anggotaitahuku senonoh muda malu kenal remeh yakin cemooh sentuh marah usaha sembunyi baik,2
266,gojek tampil gengzz,0
267,ok saran tolong baik sistem gojek data guna terima sms,2
268,nunggu situ tuh abang gojek doi jam ya random ngobrol,3
269,orang tua tua rumah malam pria asing telepon bicara bahasa kasar tutup telepon dengar jalan pintu,1
270,tentara laku adil atas anggap tanggung buat salah,2
271,serang langgeng gigi,2
272,gojek sd prameks duduk manis akademisi kampus tanya kzl,2
273,yaa gojek andong siang,0
274,muda teman coba bedah ekor katak main rumah,4
275,benarbenar marah makan makan ekor anjing marah tentang ibu ceroboh simpan makan sembunyi,2
276,terap,4
277,ayo makan gojek,0
278,lazada abang gojek salah pilih lawan tipu,3
279,pergi pusat belanja beli paket kapenta belatung dalam oh,4
280,woiii bm richeese tuh grab gojek doang gopay ada,2
281,muda suruh toko beli lusin telur pergi telur orangorang toko tertawa keluarga,5
282,unjung titip anak kondisi genting anakanak kondisi murung fisik emosional,4
283,duduk bioskop cemas tonton film dingin alas,1
284,teman cerita bodoh milik cerita cerita,5
285,bingung kontribusi jadi inidriver identitas rekam nekat ba,5
286,sbnrnya ya gituklo akun anyep sabarin dlucari spot rame order wlwpn lu suka jenis order,3
287,jalan pulang malam bus kota hadap kelompok lakilaki biar komentar dll seberang jalan gegas pulang,1
288,teknologi gojek bikin males kadang berame beli rokok pakenya gojek cm nganter rokok bungkus,4
289,rush hour pusat macet cepet order uber motor drpd gojek,2
290,mas gojek nge style gin nunggu dah wk,0
291,campur asal kolom,4
292,nilai orang tua kabar sekolah nilai bagus hebat baik malu,5
293,rendam mandi,4
294,pergi area ekor anjing kejar takut gigit,1
295,tampang akang gojek,4
296,gojek mahal online motor taxi dsini pakai gopay bikin,3
297,pagi bikin kesal kang gojek hadehhhhhhh,2
298,iki tumpang gojek bijimana naik ya mikirkeras,1
299,tuh geser sarain doi gojek bawa papan hijab hehehe,0
300,tagih make jasa kang gojek denpasar bal indonesia,0
301,sahabat tibatiba sikap aneh hadap,4
302,sometimes wanna gojek driver,2
303,males menggadapi macet menit kaya enak nih flip burger order gojek k pim duhh,0
304,kali ayah pulang rumah mabuk aniaya fisik,4
305,hehehehegosend rs cikinibintaro sektor gua sikat bang,0
306,kak ngasih driver uang lebih set,5
307,gojek grab ubersaat pegawai mahasiswa daftar kendara,5
308,gojek pasti milik data driver lengkap alamat ktp bisa usut gojekindonesia,3
309,kakak ipar hina kakak,4
310,gojek sa suda ruma,0
311,halo admin gojek buka lowong magang anak smk jurus teknik komputer jaring,1
312,order go food pakai go pay order hilang gopay potong gojek sam,2
313,guru taman kanakkanak benarbenar lelah kerja ikut uji masuk universitas derita cemas bermingguminggu lanjut kerja studi satusatunya alternatif,1
314,pagi pergi dokter gigi,1
315,sih tips kena tilang ganjil genap jkt bilang keluarga tb,0
316,pagi gojek tarik tunai gopay masuk tolong konfirmasi nya,3
317,candu alkohol giring bola konter makan,4
318,pms helm gojek ngeselin bangeeet sumpaaah,2
319,dorong teman tibatiba banting setir gelincir malam jalan sisi jalan,1
320,uang narik gojek abis beli accessories hape doang,3
321,kerabat selisih usaha kuat barang ambil ayah tinggal jadi gumul anakanaknya sumpah hidup katakata hampa gigit air mata maaf pergi menang toilet,3
322,tunggu gojek,2
323,pria mabuk hasut tarung temu pria bau busuk trem bangun marah,4
324,abang main poloskalau jarak segitu moncer tuh akun ban,3
325,yaa bubar,0
326,januari sms verifikasi daftar gojek kode verifikasi hilang,1
327,zaman baheula kakak senin gojek sm anak kemanamana,0
328,order gojek ngantar,2
329,pdkt jemput ya siappacaranjemput ya jam emangpacaran tahunjemput ya,3
330,temanteman main tangkap anak lakilaki orang tua pulang larut takut marah orang tua,1
331,buka aplikasi gojek pas cek dompet rebu,0
332,jalan mata mbrembes denger cerita gojek kangen doa istri tinggal sampe tun,3
333,ya ngirim ipx pakai gojek kolom ditulisin ipx gb,3
334,rokok maryhuana,5
335,ayah telepon pulang libur milik rawat kebun binatang,2
336,tolong gojek jenis transportasi bawa ribet idup lu malenn,2
337,reply nya quiz marah komplain direspon drivergojekpro,4
338,cela mobil b skv tabrak separator busway tl salemba tangan tugas,5
339,terima panggil telepon teman sma adik perempuan ajar universitas tumpang moning meni lelaki kenal tinggal jatuh gedung takut hilang hilang saudara celaka,1
340,buka toped buka grab buka traveloka buka twitter buka spotify buka gojek buka shopee,5
341,dengar program siar parapsikologi orangorang program katakata sulit paham tindak asa,4
342,tibatiba telepon kantor mba tampil gojek ubah ngecek history bikin pera,3
343,curi catat k guru tanggung curi,4
344,gabung kelompok pemuda amat urus komunitas milik sempat hubung perintah anggota komite dewan distrik struktur eksekutif lokal usaha konsultasi diskus temu orangorang paham urus masyarakat kurang antusiasme urus lokal erti putus pimpin komunitas,4
345,ambil darah pasien kira alkohol urin periksa buruk main sihir,1
346,lazada abang gojek salah pilih lawan tipu,3
347,video pangeran rangkak bak mandi,4
348,simpul hari indah,0
349,biar ajak karakter ben gojek dracula,3
350,ngobrol tukang gojek beliau nunggu order jam bagi jam stenga kayak banyak sup,3
351,pinjam gelang emas tahu gadis simpan malu diri milik pakai benda,5
352,mending gojek,0
353,ayah marah pria hadap temanteman,5
354,barusan dapet telepon nomor ngaku gojek bilang jt rangka ultah goj,1
355,rampok masuk malam,1
356,cacat kain anakanak italia tipu ulung,4
357,tinggal kamar malam baca cerita horor,1
358,rekomendasi hp gojek dipakeseharian,0
359,orang milik stock foto kaya sekali foto bagus dikit langsung post instagram ganti dp whatsapp line,4
360,rasa emosi pasuk bangsal rumah sakit unjung kerabat sakit,4
361,jalan mata mbrembes denger cerita gojek kangen doa istri tinggal sampe tun,3
362,yakreputasi gojek taruh lazada gojek,5
363,trem bayar orang tangkap kontrol malu marah,5
364,gojek kampret bgtga gocarnya goridenya,2
365,kamp teman kelas kritik orang temu teman kelas jijik,4
366,trauma banget varioan jalan basah walopun posisi diboncemg babang gojekwkwk,3
367,temu teman bohong hasil hubung rugi orang,4
368,abis telepon cs gojek jakarta terima tangan proses kembali gopay ess,2
369,anjing personal es musim semi,1
370,nyambi gojek loo,2
371,dosa anger dosa amoralitas seksual,4
372,pergi temu doa malam sayang mobil rusak saudari jalan ndirande chirimba malam rumah jam pagi takut rampok dardness,1
373,sampean jugak naek gojek sender enyak becul,0
374,malam natal selesai uji takut hasil salah mata kuliah utama muas pikir milik peluang gagal ulang suka subjek hasil buruk malas paksa ubah anak umur,1
375,curi masuk rumah malam,1
376,pin buat kevlar,2
377,urus gadis cinta beres positif,0
378,orangers nanti siar langsung gojek traveloka liga indonesia musim eksklusif orange tv tayan,0
379,teman cinta gadis sma sengaja seret ruang jadi jijik nyata,4
380,terima driver grab gojek batas bagus kota ngetem sembarang menu,2
381,ganti nama aplikasi gojek driver chat manggil,5
382,guru undang makan siang kantin kenal anak lakilaki minat detail pribadi bicara giat ada kampus tarik giat bicara siswa duduk belah takut kegiatankegiatan,5
383,perk sukma gojek username panggil mba inisiatif ngechat cowo ya,3
384,siang kebun temu jiwa kadal tangan,4
385,masuk mobil sangkal,2
386,pergi gelap,1
387,gojek konvoi pks gerindra,2
388,nih gojek map nya ngaco yak peta driver pick lokasi banget pas telepon orgny,4
389,hahaha lumayan kilo kak jalan kaki ketemu warung yakali gojek masuk hutan,3
390,pacar milik hubung jatuh cinta gadis sirat cinta gadis cinta,3
391,gambar gteborg post mobil hancur total langgan parah mobil rusak parah keluar mayat jadi,4
392,kakorlantas polri pakai gps hp pegang,4
393,halo uang gojek habis order setor driver ya,0
394,bang gojek pulaa,2
395,milik asa temu gadis kotor segar buang kekanakkanakan,4
396,milik salah halhal salah sopan malu orang temu orang,5
397,kak alf dapet gojek,5
398,jijik mabuk muntah ofensif,4
399,sih gojek pribadi,2
400,abang main poloskalau jarak segitu moncer tuh akun ban,3
401,mitra gojek gratis masker penutupkepala,0
402,orang milik tanding sepak bola jendela ceramah,2
403,gojek ni matre kali memori hp dah jarang pakai diupdate mulu sedih tu twitter dah tahun update,3
404,ok gua tuju admin gojek jenis ojek,2
405,sekolah kenal bohong guru diberitahu temanteman dengar cakap,2
406,bakso aci ganteng saharjo ngantri bangetudah susah parkir jalan penuhkalo beli gojek enak,2
407,takok lak iso ta takok wonder woman nek bonceng gojek lungguh e nyamping po wkwk,2
408,duduk uji,1
409,hilang dompet pergi milik kelompok takut,1
410,hi tolong bantu cari driver gojek transaksi terima kasih,0
411,kk status transaksi gg proses tolong batalim butuh brmgnya cepat pakai gojek,4
412,kemudi cepat jalan temu mobil laju tikung belah kanan lihat sisi jalan luncur hindar tabrak gelap,1
413,hello gojek teman panggil gojek goride bu,3
414,yamaha xmax gojek warga indonesia elit,5
415,jual paket ngebul paket murah vapor training sampe puas gojek,5
416,kuesioner,1
417,saudara ipar pacar temu kamar tidur pakai celana sebar,5
418,pergi malam,1
419,halo uang gojek habis order setor driver ya,0
420,tinggal sebentar marocco tinggal kapal feri spanyol cari akomodasi temu pria tawar bawa situs kemah duduk mobil takut dengar orang rampok marocco,1
421,sayah brebes mil lihat ig story gojek edisi hariperempuaninternasional,5
422,bertahuntahun jalan sekolah tepi jalan hutan temu pamer,1
423,kamp anak lakilaki perempuan kabin orang paksa gadis hubung seksual gadis tidur bawah berpurapura tidur sakit,4
424,voucher gojek dah masuk ui,5
425,pilih kuliah bahasa inggris teman perempuan pilih,3
426,note nya ganti duit gojek ganti,3
427,jakarta keras lembek dikit dibegobegoin masmas gojek,3
428,perhati banget cie mamang gojek cie kiw,0
429,duduk mobil belah pria masturbasi,1
430,susah lacak pakai akun gojek fiktif foto,1
431,eh sumpah ya kemarin mampir milih makan seafood gojek gu,0
432,eh sumpah ya kemarin mampir milih makan seafood gojek gu,0
433,buang air tikar alihalih pispot,5
434,gojek pribadi yopaaaa,0
435,ready isi mini rbisi mini rbdelivery via gosend gojek siantar,0
436,milik bendabenda pribadi atur ulang orang tuju atur sesuai selera coba cari objek susun jam,2
437,kesel ya abang gojek chat bales pas telepon bilang iya,4
438,nomor resi ubah ubah sore dibatalin guna pakai gojek kl tanggal nympe,2
439,marah dokter laku lahir tinggal plasenta keluar darah belas minggu lemah emosional butuh awat psikiatri dukung,2
440,mitra gojek gratis masker penutupkepala,0
441,males ya gojek,2
442,ayah pukul sakit minggu sembuh,4
443,nyambi gojek loo,2
444,eh pas pulang adek gua tuh nunggu bokap bokap kunjung jam jemput nya,2
445,film porno binatang,4
446,ohh doi supir gojek,5
447,liat apk gojek sih,0
448,halo admin ubah nomor telepon akun gojek lupa pin gopaynya,3
449,jalan liat kendara motor jatoh gojek nganter bilang henti sebentar ya mbak ba,5
450,know feel gojek gadget gua,2
451,malam driver gojek tindak gojek kait order fiktif rajalela daerah,2
452,tega bang ama driver,5
453,tampil aplikasi gojek emang bagus ongkir go food mahal pakai gopay beda ribu pakai halah,2
454,sesat kota new york malam jumat malam teman,1
455,guru nilai rendah hak harap,4
456,tuduh hamil putri sepupu gadis laku,4
457,pesan gojek dateng nomer platnya beda helm merk grab ceritaojol,1
458,kali belai gadis usia belas umur delapan belas perhati pengaruh,5
459,adik jalan operasi rumit lihat taruh,1
460,bingung pakai gojek,4
461,rasa kemudi bus teriak katakata senonoh pria alas,4
462,kali ayah pulang rumah mabuk aniaya fisik,4
463,asrama tidur penuh koran pakai kotor teman kamar minta cuci pakai untuk milik tanggung makan makan makan,2
464,musim semi es cair colek es cabang coba pecah cabang lewat jatuh udara tutup kepala,1
465,halo uang gojek habis order setor driver ya,0
466,yaa gojek andong siang,0
467,kemarin obrol driver gojek rating beliau bolehboleh bintang,0
468,pms helm gojek ngeselin bangeeet sumpaaah,2
469,pergi kepala ragu kerja peduli tinggal bicara,2
470,hidup gojek gimanaaaaaa,1
471,awat tambah rumah sakit ganti popok kali wanita tua sakit,4
472,cant trust babang gojek nyuruh kasih tangan pas nyebrang,0
473,ya om gojek liat sore pulang sekolah,5
474,bohong pikir marah erti bicara,5
475,gojek sih jam sore sampe jam malem kemaren gofood kulit jam mamas gojek,0
476,takut mata anjing infeksi bermainmain rumput ekor rubah ekor kelopak mata bawa dokter hewan takut buta rubah ekor,1
477,sahabat tibatiba sikap aneh hadap,4
478,kelompok hasil hasil buruk,5
479,gojek cerita galau langgan anter paket kasih rate,3
480,cuman promote bang tarik cerita fiksi original otak judul gojek drakula act,0
481,industri fintech regulasi relatif batas keep maju teknologi,3
482,yaa gojek andong siang,0
483,angka driver amp guna gojek bisa perintah sedia lapang kerja serap,5
484,percaya aing kasi contoh nih bijak privasi ojol sesuai topik twit bahas,4
485,jauuuh kang gojek mo nerima,3
486,admin rekpon dipake gojek terima transfer bank cimbniaga,3
487,angkotgojekgrabdllbbrp driver suka nanyain ginigak jemput pacar mbakenggaknpyagap,3
488,gojek tampil gengzz,0
489,pesta anakanak cerita kisahkisah berontak gadisgadis,4
