,text,emotion
49,bawabawa kakak kakak gojek bawabawa tanah abang deh ah,4
50,pacarku milik hubungan jatuh cinta gadis menyiratkan mencintai gadis mencintaiku,3
51,iyaa rin gojek ae ntar,0
52,ok see entire point iya sih ekslusif gojek isu lintas industri teknologi,0
53,bhye gojek,2
54,rasain nitik kfc dapetnya ya kfc bang temen ane nahkalo ujanbarungeblas,5
55,bertengkar sengit kekasih niatnya menikah ditolak menangis berhenti menangis mengeluarkan,2
56,admin jam gojek ambil paket trx tiket siang jam,5
57,berpisah tlah gojek grab,3
58,pulang pagipagi pergi hutan,1
59,ketawa ditawarin penutup kepala babang gojek disposable headcap dipake,0
60,driver gojek pickup ya terima kasih aes,0
61,pergi ruang makan menemukan juru masak membersihkan piring makanan burungburung biru penjaga keamanan sibuk makan makanan,2
62,pukpukliat email notifikasi trip gojek ikutan nangis,3
63,songong motor buk emang situ pakai gojek ato,3
64,eleuh eleuh bajunya savenkri banget gojek ikutan foto ya kayanya,0
65,milik jg mind orderan masuk poin masuk poin,3
66,tinggal gelap,1
67,mendengar mahasiswa pascasarjana berbicara gadisgadis unsiutable pengobatan,4
68,gojek kak kerja temenku bilang nikah biar jemput like ridiculous,4
69,umur bapakbapak gojek sik sampun sepuh tetep gayuh rezeki udan deres banget ngene,3
70,takut pencuri,1
71,teman sekamar mengacaukan kamar,4
72,orderan gojek gimama ya admin ko eror gini,2
73,gosendgrabsend mahal gojekgrabbike,2
74,posenya curiga si abang gojek ganteng bottom,5
75,salah teman nasihat pacarnya memukulnya memukulinya menyakitkan,4
76,wa kalah gojek keduluan universal studio,5
77,percaya aing kasi contoh nih kebijakan privasi ojol sesuai topik twit dibahas,4
78,pesta anakanak menceritakan kisahkisah memberontak gadisgadis,4
79,main ski menuruni lereng dingin cepat kondisi putih terkendali lakukan kemana tuju,1
80,hai kak kendala alami mohon menghubungi driver gojek yaa,1
81,dipilih kuliah bahasa inggris teman perempuan dipilih,3
82,belajar teman sekelas daftar orangorang membantu ujian profesor,2
83,way ceonya gopay kerjaannya bantuin pkk arisan arisan panci dsbnya bermanfaat,5
84,sisa kenganuan semalam pulangnya jatuh gojek lekas sembuh ya masku biar jogja,0
85,benci kemunafikan teman perempuan mencoba mengganggu urusan calon suami bersikap,4
86,mudah beli makanan buka handphone tinggal klik applikasi go,0
87,ganti nama aplikasi gojek driver chat manggil,5
88,nenek meninggal denganku,3
89,jijik siswa hamil sah,4
90,naya pura bersin hatchi sampe,2
91,tidka mengunakan order gojek via go ride termikasi responnya admin,1
92,pergi makan malam aula dinning menemukan lalat mati sausku,4
93,berjalan kampus malam seekor tupai melompat,1
94,halo admin gojek buka lowongan magang anak smk jurusan teknik komputer jaringan,1
95,kampret gojek mahal,2
96,orang kelaparan ethiopia tv sedih penderitaan,4
97,hhh tuh mo pulang cepet jajan burger laper batal mesti go,2
98,jauuuh kang gojek mo nerima,3
99,kasusnya kaya gojek cs vs bluebird bluebird perkasa lawan operator taksi pas ngelawan teknologi mendem,4
100,menonton tv film perang merasakan ketakutan kuat kematian ancaman ketakutan kehilangan orangorang,1
101,kecelakan mobil b skv menabrak separator busway tl salemba penanganan petugas,5
102,yaudah duitnya pesenin gojek,3
103,jg bilang penipu koq bacaliat info nya ya gojeknya bilang na,0
104,telepon matikan coba telepon berkali diamkan herankan sms nya,4
105,pulang rumah menemukan saudara perempuan meminjam mobil mengalami kecelakaan mobil bumper hancur,2
106,teman mempermainkan kadang berpikir orang masuk akal pergi rumah teman masuk menutup pintu kuat belakangnya menghormati temannya bersikap marah bad mood,2
107,nomor resinya berubah ubah sore dibatalin gunanya pakai gojek kl tanggal nympe,2
108,teman sekamar pulang rumah jam pagi tidur pria mabuk milik pacar,4
109,mao naek gojek neng maaf ya helmnya lembab hujan iya papagw pakai,2
110,jijik uang makan siang sekolah ayah hukuman memukul adik lakilaki,4
111,pagi mamakku bikin kehebohan pesen gojek dateng gojek tigatiganya nunggu,5
112,ya app wa twitter sm gojek gabisa dipindahkan external storage samsung pelit internal storage ben,2
113,dihina orangorang menjijikkan,2
114,hhh tuh mo pulang cepet jajan burger laper batal mesti go,2
115,ahh babang gojek bule tidur meluk motor mending peluk bang yukk bang,0
116,teman sekamar pulang rumah jam pagi tidur pria mabuk milik pacar,4
117,jalan liat pengendara motor jatoh gojek nganter bilang berhenti sebentar ya mbak ba,5
118,iyaa omowhhoke omkegiatan minggu om bo,4
119,takut tawaran seksual kerabat keluarga,1
120,kirim paket makanan one day service gojek tangerang depok bogor sampe bandung pakai,0
121,ahh babang gojek bule tidur meluk motor mending peluk bang yukk bang,0
122,berita dipilih persekutuan penelitian nasional junior ugc mimpi kenyataan,0
123,pin terbuat kevlar,2
124,menyelesaikan pr,5
125,kerena semenjak endorse pwj ama ldh gojek naikin tarif v,2
126,ditunggu gojek,2
127,pasien harapkan sembuh tibatiba meninggal makanannya,2
128,berhadapan mamba aneh berhadaphadapan sebongkah dedaunan rumah,1
129,ah mahal gojek,3
130,joko driyono orang pssi pemilik saham terbesar persija jakarta perbaikan tautan ya,0
131,jijik kotor,4
132,okay liat inget gojek nyebutin kerja ffffffff,4
133,mengetuk pintu rumah bel pintu lubang mengintip tertutup menelepon saudara perempuan membantu ratusan kilometer jauhnya,1
134,mencari dipilih kuliah bahasa inggris,5
135,admin driver nakal gini lohcustomer sih rugi uang pakai cash tingga,2
136,perampokan kesedihan,4
137,dibiarkan gelap muda,1
138,pertemuan menemukan sadar duduk sebelah orang anggap rendah diskriminatif,4
139,selamat malam gojek bantuannya unt tanggal feb transaksi pagi kfc jakarta,2
140,nunggu disitu tuh abang gojek doi jam ya random ngobrol,3
141,abisnya fel mampang bkasi nangis gojek berat ongkos gosong huhuhu,3
142,pelecehan seksual driver gojek bisadipecat,5
143,diajak tiduran mendadak neng aspal karo gojek,0
144,hebat banget kepencetnya order gojek,5
145,kesimpulan diambil populasi driver gojek milik rating excellent,5
146,siih peka babang gojek,0
147,selamat malam gojek bantuannya unt tanggal feb transaksi pagi kfc jakarta,2
148,pertemuan antipornografi sampel film majalah,4
149,ketakutan,1
150,kenaikan tarif gojek tahap uninstallajalahmendingaqpakegrab,4
151,gojek galau siang anter paket polri lepas jaket uang cashnya sanasi penerima bayar rb,3
152,br sj telepon penipuan mengaku gojek pin gopay pls fu gojekindonesia,1
153,aplikasi grab ok nonjolin layanan milik layanan lainbandingin goj,3
154,percaya aing kasi contoh nih kebijakan privasi ojol sesuai topik twit dibahas,4
155,menjernihkan kesalahpahaman teman sebabkan orang ketiga campur percakapan mengubah upaya mengejek berhasil maksudkan,2
156,jijik sepupu memutuskan berhenti pergi sekolah menikah mengerti pikirkan,4
157,nilai rendah matematika,5
158,kota malaysia pacar teater gambar bergegas taksi ditemui lelaki tua sakit mengambil alih taksi,4
159,berkeliling menyebarkan berita suka orang uang,4
160,mendengar lantai retak pikir pencuri rumah bersembunyi selimut gemetar,1
161,ujian lisan ambil,1
162,menyelesaikan bsc berjuang keras melanjutkan studi mengikuti ujian msc dipilih ujian tertulis nama daftar kandidat dipilih gembira,0
163,pagi aplikasi gojek driver errorpembayaran gopay masukpoint,4
164,ketakutan perampok masuk rumah mengancam menembak ayah berpisah uang pria tangannya pelatuk,1
165,lucu gaes bct umm gojek u know sik bct sisih endi lelah berjalan kaki menit,3
166,menyentakku kamarku tibatiba ibuku masuk menatapku meninggalkan ruangan,5
167,orderan gojek gimama ya admin ko eror gini,2
168,driver gojek wajib baca modus penipuan terhadapdriver,3
169,pacar temanteman jatuh licin benarbenar malu,5
170,brib ni barusa ane bc malam selep,1
171,cuaca terik buka aplikasi gojek gosend kabel charger ketinggalan driver hujan turun den,3
172,auditorium orangorang mengajukan konyol orang tertawa,5
173,hi barusan terima telepon berusaha penipuan nama gojek,1
174,melibatkan gojek hehe,0
175,teman cerita bodoh milik cerita diceritakan,5
176,dapet bang,5
177,nieghbour pintu berlari kucingnya jalan masuk mencoba menyelesaikannya sekop datar membawa kucing dokter hewan membunuh manusia menyembuhkan,4
178,gosendgrabsend mahal gojekgrabbikekan bawa barang enteng bawa orang,5
179,kasian abang gojek entar ditilang go food sampe sampe entar,3
180,orang egois egois,4
181,konflik orang tua mengganggu studi,1
182,mao naek gojek neng maaf ya helmnya lembab hujan iya papagw pakai,2
183,terbentur mobil,1
184,lalala gojek taun kerja dgn gojek semoga taun semoga hahah,0
185,pria membawa pisau menangkap mengancam liburan monze,1
186,wkwkwkw namanya pas foto kilat beneran kaga sempet touch abis ngejar murid foto doang,0
187,eh pas pulang adek gua tuh nunggu bokap bokap kunjung jam dijemput nya,5
188,duduk mobil sebelah pria masturbasi,1
189,puberty mamang gojek cici cici,0
190,kesiangan ujian jam bangun jam buahbatu bahan gasempet aing bacaniat prod,3
191,adegan penembakan rumah takut pria bersenjata dihadapkan menemukan alasan insiden,1
192,kelas dengar terkait orang menertawakan,5
193,nunggu disitu tuh abang gojek doi jam ya random ngobrol,3
194,halo admin gojek buka lowongan magang anak smk jurusan teknik komputer jaringan,1
195,gojek,0
196,liked video gojek mulangin tuyul,2
197,oke kakak otw gojek,0
198,dear pagi jam sja isi saldo gopay bank mandiri rbtetapi jam,3
199,gojek dibawah umur,5
200,emang suka ngeselin dah tu gojek grab ngeledek,2
201,tuh banget catcallkarena pulang sekolah kantrus goj,2
202,rumah mengisi laporan pajak milik membantu melakukannya cepat pergi bertemu teman rumah sakit marah kakak ayah menolak kalkulator memintanya pergi menunggu bantuan laporan pajak diselesaikan,2
203,takut telat gojek,3
204,berjalan ladang memiliki kotoran,4
205,orang kek dibaikin random loh nyerang nya,2
206,berbagi tinggal menuduh mencoba merobeknya pembayaran tagihan rumah,2
207,disaat razia jalan gojek amp grab ngasih promo hehe,0
208,come hangout paska kopdar gojek ons bigolive,0
209,kakek tinggal rumah orang tua kunjungan ulang tahunnya mummy menemuinya keluarga kakek,4
210,gojek motor tinggal,5
211,berjalan universitas malam diperingatkan perkosaan dll,1
212,mendengar menggoda bulling sekolah menengah,1
213,ya app wa twitter sm gojek gabisa dipindahkan external storage samsung pelit internal storage ben,2
214,admin masuk akun gojek nomer akun hangus solusinya,3
215,kuliah enam siswa meninggalkan kelas pelajaran malu marah,5
216,merencanakan belajar ujian jangka menengah teman sekamar menelepon pergi berjalanjalan mencoba alasan menolak mendengarkan bersikeras pergi dengannya berbicara dengannya,2
217,diterima universitas sofia,0
218,ahh babang gojek bule tidur meluk motor mending peluk bang yukk bang,0
219,bonekanya suruh gojek deh,3
220,males menggadapi kemacetan menit kayanya enak nih flip burger order gojek k pim duhh,0
221,barang mahal mah pakai gojek ato ojolngerii,5
222,auditorium orangorang mengajukan konyol orang tertawa,5
223,malam natal pergi rumah teman sekelas teman sekelas keesokan paginya toilet mengerti celana menemukan lupa memasangnya bergegas toilet menebak,5
224,zaman beli pulsatoken kelayaban download aze om diraba kuota gojek games jg ko,0
225,pergi kepala keraguan pekerjaan peduli meninggalkan berbicara,2
226,laper pengen makan hujan mesen gojek kasian akangnya hujan gini,3
227,terdaftar gojek traveloka dll ganti repot,1
228,gojek turun langsung jalan jatibaru raya,0
229,pertemuan seratus orang memutuskan berbicara tribun menggambar,5
230,pulang pergi kantor gojek grab nyaman tarifnya mulu jarang,3
231,memasuki ruang operasi menjalani operasi sulit,1
232,pergi menemui teman orang orang membawa hadiah satusatunya membawa apaapa teman ramah perasaannya,5
233,salah sahabat ditemukan tergeletak jalan mabuk dibawa polisi dimasukkan sel pergi menemuinya esok paginya benarbenar berantakan berbau busuk menyukainya,4
234,malu tubuh indah pacar menganggap cantik,5
235,abang gojeka kekinian bgtmau kuliah ya nengiya bang nguli,4
236,mengalami kecelakaan mobil kesalahanku malu memiliki roh pengemudi,5
237,ya semenjak update aplikasi driver penumpang titik lokasi gps terlih,3
238,emang ganti foto profil grab gojek,3
239,memergoki masturbasi,5
240,sedih pacar menyelesaikan hubungan,3
241,twt pakai paket unlimited app nya indosat bhahaha buka app line twt goj,3
242,selamat malam gojek bantuannya unt tanggal feb transaksi pagi kfc jakarta,2
243,temen gua buru naek gojek ngulurin tangan helm disalamin ama abangnya wqwqw,3
244,pemuda cacat fisik ludahnya mulutnya berbicara,4
245,gojek terminal bungurasih titik temunya halte gudang garam drivernya disuruh,3
246,membaca buku fantasi seksual wanita membaca wanita hubungan seksual anjing,4
247,jakarta macet sih segitu tarikannya,5
248,uber drivernya ajar berkalikali pakai ub,2
249,harga gojek gocar dah angkot dkk gojekindonesia,3
250,sesi film py selasa salah film percobaan seekor kucing hidup melibatkan memasukkannya mesin halhal otaknya,4
251,asli dah nih nyariin adek gojek pagi tuh emosi dicancel mulu adek manja bergantu,2
252,maret jam siang jalan kejayaan rt rw krukut taman sari order via gojekgrab tele,5
253,temantemanku bersikap kasar gadis,5
254,jijik mabuk tidur orang asing,4
255,jijik orang memahami salah paham,4
256,surge pricing gojek hujan menjadikanku hujanhujanan,0
257,didorong teman tibatiba banting setir tergelincir malam perjalanan sisi jalan,1
258,teman kolega berbicara pekerjaan mahasiswa terpintar perguruan,5
259,oo ya bang tukang menan dpn sd,5
260,takut muda pergi rumah,1
261,rumah tibatiba sehat membantu memanggil first aid,1
262,pulang rumah mabuk sehari pesta malu orang tua,5
263,cuih ya mo gojek shihlin saia jakarta,5
264,naya pura bersin hatchi sampe,2
265,anak lelaki kukenal anggotaitahuku senonoh muda pemalu kukenal meremehkan keyakinannya mencemooh menyentuhnya marah berusaha menyembunyikannya memperbaiki,2
266,gojek tampilannya gengzz,0
267,ok saran tolong diperbaiki sistem gojek data pengguna menerima sms,2
268,nunggu disitu tuh abang gojek doi jam ya random ngobrol,3
269,orang tuaku tertua rumah malam pria asing menelepon berbicara bahasa kasar menutup telepon mendengar berjalan pintu,1
270,tentara diperlakukan adil atasan dianggap bertanggung perbuatan bersalah,2
271,diserang melanggengkan gigi,2
272,gojek sd prameks duduk manis akademisi kampus pertanyaannya kzl,2
273,yaa gojek andong siang,0
274,muda teman mencoba membedah seekor katak bermain rumahnya,4
275,benarbenar marah makanan dimakan seekor anjing kemarahanku menentang ibuku ceroboh menyimpan makanan tersembunyi,2
276,diterapkan,4
277,ayo makan gojek,0
278,lazada abang gojek salah memilih lawan ditipu,3
279,pergi pusat perbelanjaan membeli paket kapenta belatung dalamnya oh,4
280,woiii bm richeese tuh grab gojek doang gopay adaan,2
281,muda disuruh toko membeli selusin telur pergi telur orangorang toko tertawa keluarga,5
282,mengunjungi penitipan anak kondisinya genting anakanak kondisi kemurungan fisik emosional,4
283,duduk bioskop cemas menonton film dingin alasannya,1
284,teman cerita bodoh milik cerita diceritakan,5
285,bingung berkontribusi kejadian inidriver identitasnya kerekam nekat ba,5
286,sbnrnya ya gituklo akun anyep sabarin dlucari spot rame order wlwpn lu suka jenis orderannya,3
287,berjalan pulang malam bus kota dihadapkan sekelompok lakilaki membiarkan komentar dll menyeberang jalan bergegas pulang,1
288,teknologi gojek bikin males kadang berame beli rokok pakenya gojek cm nganter rokok sebungkus,4
289,rush hour pusat macet cepet order uber motor drpd gojek,2
290,mas gojek nge style gini nunggu dah wk,0
291,campuran berasal kolom,4
292,nilai orang tua kabarmu sekolah nilai bagus hebat baiklah malu,5
293,berendam mandi,4
294,pergi area seekor anjing mengejar takut menggigit,1
295,tampang akang gojek,4
296,gojek mahal online motor taxi dsini pakai gopay bikin,3
297,pagi bikin kesal kang gojek hadehhhhhhh,2
298,iki penumpangnya gojek bijimana naiknya ya mikirkeras,1
299,tuh geser sarain doi gojek bawa papan hijab hehehe,0
300,ketagihan make jasa kang gojek denpasar bali indonesia,0
301,sahabatku tibatiba bersikap aneh terhadapku,4
302,sometimes wanna gojek driver,2
303,males menggadapi kemacetan menit kayanya enak nih flip burger order gojek k pim duhh,0
304,kali ayah pulang rumah mabuk dianiaya fisik,4
305,hehehehegosend rs cikinibintaro sektor gua sikat bang,0
306,kak ngasih driver uang kelebihannya set,5
307,gojek grab ubersaat pegawai mahasiswa mendaftarkan kendaraannya,5
308,gojek pastinya milik data driver lengkap alamat ktp bisalah diusut gojekindonesia,3
309,kakak iparku menghina kakakku,4
310,gojek sa suda ruma,0
311,halo admin gojek buka lowongan magang anak smk jurusan teknik komputer jaringan,1
312,order go food pakai go pay orderan hilang gopay terpotong gojek sam,2
313,guru taman kanakkanak benarbenar lelah pekerjaan mengikuti ujian masuk universitas menderita kecemasan bermingguminggu melanjutkan pekerjaan studi satusatunya alternatif,1
314,pagi pergi dokter gigi,1
315,sih tips kena tilang ganjil genap jkt bilang keluarga tb,0
316,pagi gojek tarik tunai gopay masuk tolong konfirmasi nya,3
317,pecandu alkohol menggiring bola konter makanan,4
318,pms helm gojek ngeselin bangeeet sumpaaah,2
319,didorong teman tibatiba banting setir tergelincir malam perjalanan sisi jalan,1
320,uang narik gojek abis beli accessories hape doang,3
321,kerabat berselisih perusahaan kuat barangnya diambil ayahnya meninggal kejadian menggumuli anakanaknya bersumpah kehidupan katakata hampa menggigit air matanya dimaafkan pergi menangis toilet,3
322,ditunggu gojek,2
323,pria mabuk menghasut bertarung bertemu pria berbau busuk trem bangun marah,4
324,abang main poloskalau jarak segitu moncer tuh akun ban,3
325,yaa bubar,0
326,januari sms verifikasi pendaftaran gojek kode verifikasi hilang,1
327,zaman baheula kakak dipesenin gojek sm anaknya kemanamana,0
328,order gojek ngantar,2
329,pdkt jemput ya siappacaranjemput ya jam emangpacaran tahunjemput ya,3
330,temanteman bermain menangkap anak lakilaki orang tua pulang larut takut dimarahi orang tua,1
331,buka aplikasi gojek pas cek dompet rebu,0
332,jalan mata mbrembes denger cerita gojek kangen doa istrinya meninggal sampe ditun,3
333,ya ngirim ipx pakai gojek kolomnya ditulisin ipx gb,3
334,merokok maryhuana,5
335,ayah menelepon pulang liburan milik merawat kebun binatang,2
336,tolong gojek sejenisnya transportasi bawa ribet idup lu malenn,2
337,reply nya quiz marah komplainnya direspon drivergojekpro,4
338,kecelakan mobil b skv menabrak separator busway tl salemba penanganan petugas,5
339,menerima panggilan telepon teman sma adik perempuannya belajar universitas tumpangan moning menikah lelaki kenal meninggal jatuh gedung takut kehilangan kehilangan saudara kecelakaan,1
340,buka toped buka grab buka traveloka buka twitter buka spotify buka gojek buka shopee,5
341,mendengar program penyiaran parapsikologi orangorang program katakata sulit pahami bertindak perasaan,4
342,tibatiba telepon kantor mba tampilan gojek berubah ngecek history bikin pera,3
343,mencuri catatan k guru bertanggung pencurian,4
344,bergabung kelompok pemuda mengamati urusan komunitas memiliki kesempatan menghubungi pemerintah anggota komite dewan distrik struktur eksekutif lokal berusaha berkonsultasi berdiskusi menemukan orangorang memahami urusan masyarakat mengurangi antusiasme urusan lokal mengerti memutuskan pemimpin komunitas,4
345,mengambil darah pasien perkiraan alkohol urin pemeriksaan buruk bermain sihir,1
346,lazada abang gojek salah memilih lawan ditipu,3
347,video pangeran merangkak bak mandi,4
348,kesimpulan hariku indah,0
349,biar diajak karakter ben gojek dracula,3
350,ngobrol tukang gojek beliau nunggu orderan jam kebagian jam stenga kayaknya banyakan sup,3
351,meminjam gelang emas sepengetahuan gadis menyimpannya malu diriku memilikinya memakai benda,5
352,mending gojek,0
353,ayah marah pria hadapan temanteman,5
354,barusan dapet telepon nomor ngaku gojek bilang jt rangka ultah goj,1
355,perampok masuk malam,1
356,cacat kain anakanak italia penipu ulung,4
357,tinggal kamar malam membaca cerita horor,1
358,rekomendasi hp gojek dipakeseharian,0
359,orang milik stock foto kaya sekalinya foto bagusan dikit langsung post instagram ganti dp whatsapp line,4
360,merasakan emosi memasuki bangsal rumah sakit mengunjungi kerabat sakit,4
361,jalan mata mbrembes denger cerita gojek kangen doa istrinya meninggal sampe ditun,3
362,yakreputasi gojek dipertaruhkan lazada gojek,5
363,trem membayar orang tertangkap pengontrol malu marah,5
364,gojek kampret bgtga gocarnya goridenya,2
365,kamp teman sekelas mengkritik orang menemukan teman sekelas menjijikkan,4
366,trauma banget varioan jalanan basah walopun posisinya diboncemg babang gojekwkwk,3
367,menemukan teman membohongi menghasilkan hubungan merugikan orang,4
368,abis telepon cs gojek jakarta diterima tangani proses pengembalian gopay ess,2
369,anjing personalisasi es musim semi,1
370,nyambi gojek loo,2
371,dosa anger dosa amoralitas seksual,4
372,pergi pertemuan doa malam sayangnya mobil rusak saudari berjalan ndirande chirimba malam rumah jam pagi takut perampok dardness,1
373,kesampean jugak naek gojek senderannya enyak becul,0
374,malam natal menyelesaikan ujian takut hasil salah mata kuliah utama memuaskan pikir memiliki peluang gagal mengulangi menyukai subjek hasil buruk kemalasan dipaksa berubah anak umur,1
375,pencuri masuk rumahku malam,1
376,pin terbuat kevlar,2
377,urusan gadis cintai bereskan positif,0
378,orangers nantikan siaran langsung gojek traveloka liga indonesia musim eksklusif orange tv tayan,0
379,teman bercinta gadis sma sengaja diseret ruangan kejadian jijik kenyataan,4
380,penerimaan driver grab gojek batasan bagus kota ngetem sembarangan menu,2
381,ganti nama aplikasi gojek driver chat manggil,5
382,guru mengundang makan siang kantin memperkenalkan anak lakilaki minat detail pribadi berbicara kegiatan diadakan kampus tertarik kegiatan berbicara siswa duduk sebelah takut kegiatankegiatan,5
383,perk sukma gojek username dipanggil mba inisiatif ngechat cowo ya,3
384,menyiangi kebun menemukan jiwa kadal tangan,4
385,masuk mobil menyangkal,2
386,pergi kegelapan,1
387,gojek konvoi pks gerindra,2
388,nih gojek map nya ngaco yak peta driver pick lokasinya banget pas telepon orgny,4
389,hahaha lumayan kilo kak jalan kaki ketemu warung yakali gojek masuk hutan,3
390,pacarku milik hubungan jatuh cinta gadis menyiratkan mencintai gadis mencintaiku,3
391,gambar gteborg post mobil menghancurkan total pelanggan parah mobil rusak parah mengeluarkan mayat kejadian,4
392,kakorlantas polri pakai gps hp dipegang,4
393,halo uang gojek sehabis order disetor driver ya,0
394,bang gojek pulaa,2
395,memiliki perasaan bertemu gadis kotor segar membuang kekanakkanakan,4
396,memiliki salah halhal salah sopan mempermalukan orang bertemu orang,5
397,kak alfi dapet gojek,5
398,jijik pemabuk muntah ofensif,4
399,sih gojek pribadi,2
400,abang main poloskalau jarak segitu moncer tuh akun ban,3
401,mitra gojek gratis masker penutupkepala,0
402,orang memiliki pertandingan sepak bola jendela ceramah,2
403,gojek ni matre kali memori hp dah jarang dipakai diupdate mulu sedih tu twitter dah setahunan update,3
404,ok gua setuju admin gojek sejenisnya ojek,2
405,sekolah kenalan kebohongan guru diberitahu temanteman mendengar percakapan,2
406,bakso aci ganteng saharjo ngantri bangetudah susah parkir jalanan penuhkalo beli gojek enak,2
407,takok lak iso ta takok wonder woman nek dibonceng gojek lungguh e nyamping po wkwk,2
408,duduk ujian,1
409,kehilangan dompet bepergian milik kelompok takut,1
410,hi tolong bantu carikan driver gojek transaksi terima kasih,0
411,kk status transaksi gg proses tolong batalim butuh brmgnya cepat pakai gojek,4
412,mengemudi cepat jalan bertemu mobil melaju tikungan sebelah kanan penglihatan sisi jalannya meluncur menghindari tabrakan gelap,1
413,hello gojeknya teman panggilan gojek goride bu,3
414,yamaha xmax gojek warga indonesia elit,5
415,jual paket ngebul paket murah vapor training sampe puas gojek,5
416,kuesioner,1
417,saudara ipar pacar menemukan kamar tidur pakaian celana tersebar,5
418,pergi malam,1
419,halo uang gojek sehabis order disetor driver ya,0
420,tinggal sebentar marocco ketinggalan kapal feri spanyol mencari akomodasi bertemu pria menawarkan membawa situs berkemah duduk mobilnya takut mendengar orang dirampok marocco,1
421,sayah brebes mili lihat ig story gojek edisi hariperempuaninternasional,5
422,bertahuntahun perjalanan sekolah tepi jalan hutan menemukan pamer,1
423,kamp anak lakilaki perempuan kabin orang memaksakan gadis hubungan seksual gadis tidur bawahnya berpurapura tertidur sakit,4
424,voucher gojek dah masuk ui,5
425,dipilih kuliah bahasa inggris teman perempuan dipilih,3
426,note nya diganti duit gojek diganti,3
427,jakarta keras lembek dikit dibegobegoin masmas gojek,3
428,perhatian banget cie mamang gojek cie kiw,0
429,duduk mobil sebelah pria masturbasi,1
430,susah dilacak pakai akun gojek fiktif fotonya,1
431,eh sumpah ya kemarin mampir milih makan seafood gojek gu,0
432,eh sumpah ya kemarin mampir milih makan seafood gojek gu,0
433,buang air tikar alihalih pispot,5
434,gojek pribadi yopaaaa,0
435,ready isi mini rbisi mini rbdelivery via gosend gojek siantar,0
436,memiliki bendabenda pribadi diatur ulang orang persetujuan mengaturnya sesuai selera mencoba mencari objek susun jam,2
437,kesel ya abang gojek chat bales pas telepon bilang iya,4
438,nomor resinya berubah ubah sore dibatalin gunanya pakai gojek kl tanggal nympe,2
439,kemarahan dokter perlakuannya melahirkan meninggalkan plasenta mengeluarkan darah belas minggu lemah emosional membutuhkan perawatan psikiatri dukungan,2
440,mitra gojek gratis masker penutupkepala,0
